Symbol,Security Name
20MICRONS.NS,20 MICRONS LTD
21STCENMGM.NS,21ST CENTURY MGMT SERVICE
3IINFOLTD.NS,3I INFOTECH LIMITED
3MINDIA.NS,3M INDIA LIMITED
3PLAND.NS,3P LAND HOLDINGS LIMITED
3RDROCK.NS,3RD ROCK MULTIMEDIA LTD
5PAISA.NS,5PAISA CAPITAL LIMITED
63MOONS.NS,63 MOONS TECHNOLOGIES LTD
A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD
AAATECH.NS,AAA TECHNOLOGIES LIMITED
AADHARHFC.NS,AADHAR HOUSING FINANCE L
AAKASH.NS,AAKASH EXPLORATION SER L
AAREYDRUGS.NS,AAREY DRUGS & PHARM LTD
AARON.NS,AARON INDUSTRIES LIMITED
AARTECH.NS,AARTECH SOLONICS LIMITED
AARTIDRUGS.NS,AARTI DRUGS LTD.
AARTIIND.NS,AARTI INDUSTRIES LTD
AARTIPHARM.NS,AARTI PHARMALABS LIMITED
AARTISURF.NS,AARTI SURFACTANTS LIMITED
AARVEEDEN.NS,AARVEE DEN. & EXP. LTD
AARVI.NS,AARVI ENCON LIMITED
AATMAJ.NS,AATMAJ HEALTHCARE LIMITED
AAVAS.NS,AAVAS FINANCIERS LIMITED
ABAN.NS,ABAN OFFSHORE LTD.
ABB.NS,ABB INDIA LIMITED
ABBOTINDIA.NS,ABBOTT INDIA LIMITED
ABCAPITAL.NS,ADITYA BIRLA CAPITAL LTD.
ABCOTS.NS,A B COTSPIN INDIA LIMITED
ABDL.NS,ALLIED BLEND N DISTILS L
ABFRL.NS,ADITYA BIRLA FASHION & RT
ABINFRA.NS,A B INFRABUILD LIMITED
ABMINTLLTD.NS,ABM INTERNATIONAL LTD
ABREL.NS,ADITYA BIRLA REAL EST LTD
ABSLAMC.NS,ADIT BIRL SUN LIF AMC LTD
ABSMARINE.NS,ABS MARINE SERVICES LTD
ACC.NS,ACC LIMITED
ACCELYA.NS,ACCELYA SOLN INDIA LTD
ACCENTMIC.NS,ACCENT MICROCELL LIMITED
ACCORD.NS,ACCORD SYNERGY LIMITED
ACCURACY.NS,ACCURACY SHIPPING LIMITED
ACE.NS,ACTION CONST EQUIP LTD
ACEINTEG.NS,ACE INTEGRATED SOLU. LTD.
ACI.NS,ARCHEAN CHEMICAL IND LTD
ACL.NS,ANDHRA CEMENTS LIMITED
ACMESOLAR.NS,ACME SOLAR HOLDINGS LTD
ADANIENSOL.NS,ADANI ENERGY SOLUTION LTD
ADANIENT.NS,ADANI ENTERPRISES LIMITED
ADANIGREEN.NS,ADANI GREEN ENERGY LTD
ADANIPORTS.NS,ADANI PORT & SEZ LTD
ADANIPOWER.NS,ADANI POWER LTD
ADFFOODS.NS,ADF FOODS LIMITED
ADL.NS,ARCHIDPLY DECOR LIMITED
ADORWELD.NS,ADOR WELDING LTD
ADROITINFO.NS,ADROIT INFOTECH LIMITED
ADSL.NS,ALLIED DIGITAL SERV. LTD
ADVANIHOTR.NS,ADVANI HOT.& RES.(I) LTD
ADVENZYMES.NS,ADVANCED ENZYME TECH LTD
AEGISLOG.NS,AEGIS LOGISTICS LIMITED
AEROFLEX.NS,AEROFLEX INDUSTRIES LTD
AETHER.NS,AETHER INDUSTRIES LIMITED
AFCONS.NS,AFCONS INFRASTRUCTURE LTD
AFFLE.NS,AFFLE (INDIA) LIMITED
AFFORDABLE.NS,AFFORD ROBO & AUTO LTD
AFIL.NS,AKME FINTRADE (INDIA) LTD
AGARIND.NS,AGARWAL INDS CORP LTD.
AGARWALFT.NS,AGARWAL FLOAT GLASS I LTD
AGIIL.NS,AGI INFRA LIMITED
AGNI.NS,AGNI GREEN POWER LTD
AGRITECH.NS,AGRI-TECH (INDIA) LIMITED
AGROPHOS.NS,AGRO PHOS INDIA LIMITED
AGSTRA.NS,AGS TRANSACT TECH LTD
AGUL.NS,A G UNIVERSAL LIMITED
AHIMSA.NS,AHIMSA INDUSTRIES LTD.
AHL.NS,ABANS HOLDINGS LIMITED
AHLADA.NS,AHLADA ENGINEERS LIMITED
AHLEAST.NS,ASIAN HOTELS (EAST) LTD
AHLUCONT.NS,AHLUWALIA CONT IND LTD
AIAENG.NS,AIA ENGINEERING LIMITED
AIIL.NS,AUTHUM INVEST & INFRA LTD
AILIMITED.NS,ABHISHEK INTEGRATIONS LTD
AIMTRON.NS,AIMTRON ELECTRONICS LTD
AIRAN.NS,AIRAN LIMITED
AIROLAM.NS,AIRO LAM LIMITED
AISL.NS,ANI INTEGRATED SERV LTD.
AJANTPHARM.NS,AJANTA PHARMA LIMITED
AJMERA.NS,AJMERA REALTY & INF I LTD
AJOONI.NS,AJOONI BIOTECH LIMITED
AKASH.NS,AKASH INFRA-PROJECTS LTD
AKG.NS,AKG EXIM LIMITED
AKI.NS,AKI INDIA LIMITED
AKIKO.NS,AKIKO GLOBAL SERVICES L
AKSHAR.NS,AKSHAR SPINTEX LIMITED
AKSHARCHEM.NS,AKSHARCHEM INDIA LIMITED
AKSHOPTFBR.NS,AKSH OPTIFIBRE  LTD
AKUMS.NS,AKUMS DRUGS AND PHARMA L
AKZOINDIA.NS,AKZO NOBEL INDIA LIMITED
ALANKIT.NS,ALANKIT LIMITED
ALBERTDAVD.NS,ALBERT DAVID LIMITED
ALEMBICLTD.NS,ALEMBIC LIMITED
ALICON.NS,ALICON CASTALLOY LIMITED
ALKALI.NS,ALKALI METALS LTD
ALKEM.NS,ALKEM LABORATORIES LTD.
ALKYLAMINE.NS,ALKYL AMINES CHEM. LTD
ALLCARGO.NS,ALLCARGO LOGISTICS LTD
ALLDIGI.NS,ALLDIGI TECH LIMITED
ALLETEC.NS,ALL E TECHNOLOGIES LTD
ALMONDZ.NS,ALMONDZ GLOBAL SEC LTD
ALOKINDS.NS,ALOK INDUSTRIES LIMITED
ALPA.NS,ALPA LABORATORIES LTD
ALPEXSOLAR.NS,ALPEX SOLAR LIMITED
ALPHAGEO.NS,ALPHAGEO (INDIA) LIMITED
ALPSINDUS.NS,ALPS INDUSTRIES LTD.
ALUWIND.NS,ALUWIND ARCHITECTURAL LTD
AMBER.NS,AMBER ENTERPRISES (I) LTD
AMBEY.NS,AMBEY LABORATORIES LTD
AMBICAAGAR.NS,AMBICA AGAR & AROMAINDLTD
