Symbol,Security Name
GSFC.BO,Gujarat State Fertilizers & Chemicals Ltd
HINDUNILVR.BO,Hindustan Unilever Ltd
AKZOINDIA.BO,Akzo Nobel India Ltd
FUTURAPOLY.BO,Futura Polyesters Ltd
NOCIL.BO,NOCIL Ltd
SPIC.BO,Southern Petrochemical Industrial Corporation Ltd
TATACHEM.BO,Tata Chemicals Ltd
TNPETRO.BO,Tamilnadu Petroproducts Ltd
ZUARIIND.BO,Zuari Industries Ltd
NESTLEIND.BO,Nestle India Ltd
TATACONSUM.BO,Tata Consumer Products Ltd
ASIANPAINT.BO,Asian Paints Ltd
BRITANNIA.BO,Britannia Industries Ltd
COLPAL.BO,Colgate Palmolive (India) Ltd
EIHOTEL.BO,EIH Ltd
INDHOTEL.BO,Indian Hotels Company Ltd
CASTROLIND.BO,Castrol India Ltd
ITC.BO,ITC Ltd
APOLLOTYRE.BO,Apollo Tyres Ltd
CEATLTD.BO,Ceat Ltd
MODIRUBBER.BO,Modi Rubber Ltd
FINPIPE.BO,Finolex Industries Ltd
VALUEIND.BO,Value Industries Ltd
ZGOLDINV.BO,Gold Rock Investments Ltd
PEOPLIN.BO,Peoples Investments Ltd
DSINVEST.BO,Dalal Street Investments Ltd
CENTRUM.BO,Centrum Capital Ltd
KARTKIN.BO,Kartik Investments Trust Ltd
TCIFINANCE.BO,TCI Finance Ltd
KRATOSENER.BO,Kratos Energy & Infrastructure Ltd
IITL.BO,Industrial Investment Trust Ltd
INDPRUD.BO,Industrial & Prudential Investment Company Ltd
TATAINVEST.BO,Tata Investment Corporation Ltd
JAYBHCR.BO,Jayabharat Credit Ltd
PRISMX.BO,Prismx Global Ventures Ltd
MOTOGENFIN.BO,Motor & General Finance Ltd
RAPIDIN.BO,Rapid Investments Ltd
WALCHPF.BO,Walchand Peoplefirst Ltd
WHBRADY.BO,WH Brady & Company Ltd
TECHNVISN.BO,TechNVision Ventures Ltd
SHAILY.BO,Shaily Engineering Plastics Ltd
BBTC.BO,Bombay Burmah Trading Corporation Ltd
BOMBCYC.BO,Bombay Cycle & Motor Agency Ltd
GREAVESCOT.BO,Greaves Cotton Ltd
MULLER.BO,Muller & Phipps India Ltd
SFTL.BO,Springform Technology Ltd
AMALGAM.BO,Amalgamated Electricity Company Ltd
INDIANVSH.BO,IndiaNivesh Ltd
COASTCORP.BO,Coastal Corporation Ltd
CHOWGULSTM.BO,Chowgule Steamships Ltd
GLOBOFFS.BO,Global Offshore Services Ltd
DHENUBUILD.BO,Dhenu Buildcon Infra Ltd
ASIIL.BO,ASI Industries Ltd
SAGCEM.BO,Sagar Cements Ltd
HEMACEM.BO,Hemadri Cements Ltd
DECCANCE.BO,Deccan Cements Ltd
MANGLMCEM.BO,Mangalam Cement Ltd
NCLIND.BO,NCL Industries Ltd
SAURASHCEM.BO,Saurashtra Cement Ltd
SHREDIGCEM.BO,Shree Digvijay Cement Company Ltd
BORORENEW.BO,Borosil Renewables Ltd
LERTHAI.BO,Lerthai Finance Ltd
RASSIREF.BO,Raasi Refractories Ltd
TRIVENIGQ.BO,Triveni Glass Ltd
NILACHAL.BO,Nilachal Refractories Ltd
ANDHRAPAP.BO,Andhra Paper Ltd
BALKRISIND.BO,Balkrishna Industries Ltd
ORIENTPPR.BO,Orient Paper & Industries Ltd
CITADEL.BO,Citadel Realty and Developers Ltd
ROLLT.BO,Rollatainers Ltd
SESHAPAPER.BO,Seshasayee Paper and Boards Ltd
NATHIND.BO,Nath Industries Ltd
VAPIENTER.BO,Vapi Enterprise Ltd
DCM.BO,DCM Ltd
FORBESCO.BO,Forbes & Company Ltd
HPCOTTON.BO,HP Cotton Textile Mills Ltd
UNITEDINT.BO,United Interactive Ltd
JAMSHRI.BO,Jamshri Realty Ltd
KATRSPG.BO,Katare Spinning Mills Ltd
KESORAMIND.BO,Kesoram Industries Ltd
LAKSHMIMIL.BO,Lakshmi Mills Company Ltd
VTL.BO,Vardhman Textiles Ltd
PENINLAND.BO,Peninsula Land Ltd
PASUSPG.BO,Pasupati Spinning & Weaving Mills Ltd
PHOENIXLTD.BO,The Phoenix Mills Ltd
MARATHON.BO,Marathon Nextgen Realty Ltd
RAJABAH.BO,Raja Bahadur International Ltd
RELCHEMQ.BO,Reliance Chemotex Industries Ltd
RUBYMILLS.BO,Ruby Mills Ltd
SIMPLXREA.BO,Simplex Realty Ltd
SWANENERGY.BO,Swan Energy Ltd
VICTMILL.BO,Victoria Mills Ltd
ZSVARAJT.BO,Svaraj Trading & Agencies Ltd 
ZODIACVEN.BO,Zodiac Ventures Ltd
VEERENRGY.BO,Veer Energy & Infrastructure Ltd
SW1.BO,SW Investments Ltd
TILAK.BO,Tilak Ventures Ltd
WAGEND.BO,Wagend Infra Venture Ltd
ELCIDIN.BO,EL CID Investments Ltd
MEDIAONE.BO,Mediaone Global Entertainment Ltd
BANSWRAS.BO,Banswara Syntex Ltd
MODWOOL.BO,Modella Woollens Ltd
MODIPON.BO,Modipon Ltd
SHRIDINE.BO,Shri Dinesh Mills Ltd
SRF.BO,SRF Ltd
SIYSIL.BO,Siyaram Silk Mills Ltd
SWADPOL.BO,Swadeshi Polytex Ltd
SHRAJSYNQ.BO,Shree Rajasthan Syntex Ltd
SHRMFGC.BO,Shree Manufacturing Company Ltd
ZSATYASL.BO,Satyam Silk Mills Ltd
BBL.BO,Bharat Bijlee Ltd
ELPROINTL.BO,Elpro International Ltd
GEE.BO,GEE Ltd
HIRECT.BO,Hind Rectifiers Ltd
NIPPOBATRY.BO,Indo National Ltd
ZENSARTECH.BO,Zensar Technologies Ltd
JYOTI.BO,Jyoti Ltd
JSLINDL.BO,JSL Industries Ltd
KAYCEEI.BO,Kaycee Industries Ltd
INDOKEM.BO,Indokem Ltd
PANAENERG.BO,Panasonic Energy India Company Ltd
NELCO.BO,Nelco Ltd
PERMAGN.BO,Permanent Magnets Ltd
HIGHENE.BO,High Energy Batteries India Ltd
STDBAT.BO,Standard Batteries Ltd
UNIVCABLES.BO,Universal Cables Ltd
WSI.BO,W. S. Industries (India) Ltd
DLTNCBL.BO,Delton Cables Ltd
LAKSELEC.BO,Lakshmi Electrical Control Systems Ltd
MODULEX.BO,Modulex Construction Technologies Ltd
DELTAMAGNT.BO,Delta Manufacturing Ltd
LONGSPUR.BO,Longspur International Ventures Ltd
RELTD.BO,Ravindra Energy Ltd
RRP.BO,RRP Semiconductor Ltd
EMPOWER.BO,Empower India Ltd
ZMULTIPU.BO,Multipurpose Trading & Agencies Ltd
GRANDMA.BO,Grandma Trading & Agencies Ltd 
SOFTBPO.BO,Softbpo Global Services Ltd
NYSSACORP.BO,Nyssa Corporation Ltd
FLOMIC.BO,Flomic Global Logistics Ltd
KRISHNA.BO,Krishna Ventures Ltd
SJCORP.BO,SJ Corporation Ltd
UNIABEXAL.BO,Uni Abex Alloy Products Ltd
SARDAEN.BO,Sarda Energy & Minerals Ltd
BWLLTD.BO,BWL Ltd
BGWTATO.BO,Bhagwati Autocast Ltd
BOMBWIR.BO,Bombay Wire Ropes Ltd
AZADIND.BO,Azad India Mobility Ltd
INDIANHUME.BO,Indian Hume Pipe Company Ltd
INLCM.BO,Indian Link Chain Manufacturers Ltd
INVPRECQ.BO,Investment & Precision Castings Ltd
SUMMITSEC.BO,Summit Securities Ltd
INFORTEC.BO,Informed Technologies India Ltd
KAIRA.BO,Kaira Can Company Ltd
ORIENTCER.BO,Orient Ceratech Ltd
NATIONSTD.BO,National Standard (India) Ltd
RATHIST.BO,Rathi Steel & Power Ltd
DUNCANENG.BO,Duncan Engineering Ltd
SANDUMA.BO,Sandur Manganese & Iron Ores Ltd
STOVACQ.BO,Stovec Industries Ltd
TATAYODOGA.BO,Tayo Rolls Ltd
CHOLAHLDNG.BO,Cholamandalam Financial Holdings Ltd
ZWELCAST.BO,Welcast Steels Ltd
AUTOAXLES.BO,Automotive Axles Ltd
ATLASCYCLE.BO,Atlas Cycles (Haryana) Ltd
ACGL.BO,Automobile Corporation of Goa Ltd
SETCO.BO,Setco Automotive Ltd
INRADIA.BO,India Radiators Ltd
TALBROAUTO.BO,Talbros Automotive Components Ltd
ZFSTEERING.BO,ZF Steering Gear India Ltd
SMLISUZU.BO,SML Isuzu Ltd
TIL.BO,TIL Ltd
EICHERMOT.BO,Eicher Motors Ltd
JAINEX.BO,Jainex Aamcol Ltd
ALFREDHE.BO,Alfred Herbert India Ltd
VELJAN.BO,Veljan Denison Ltd
DYNAMATECH.BO,Dynamatic Technologies Ltd
GGDPROP.BO,G. G. Dandekar Properties Ltd
GMMPFAUDLR.BO,GMM Pfaudler Ltd
KIRLPNU.BO,Kirloskar Pneumatic Company Ltd
TULIVE.BO,Tulive Developers Ltd
KPT.BO,KPT Industries Ltd
LAKSHMIEW.BO,Lakshmi Engineering And Warehousing Ltd
LYNMC.BO,Lynx Machinery & Commercials Ltd
MANUGRAPH.BO,Manugraph India Ltd
HARSHILAGR.BO,Harshil Agrotech Ltd
MONOT.BO,Monotype India Ltd 
NESCO.BO,NESCO Ltd
INTEGRAEN.BO,Integra Engineering India Ltd
SEMAC.BO,Semac Consultants Ltd
TEXINFRA.BO,Texmaco Infrastructure & Holdings Ltd
WENDT.BO,Wendt (India) Ltd
PSITINFRA.BO,PS IT Infrastructure & Services Ltd
GHVINFRA.BO,GHV Infra Projects Ltd
RESPONIND.BO,Responsive Industries Ltd
SHYMINV.BO,Shyamkamal Investments Ltd 
ZHEMHOLD.BO,Hem Holdings & Trading Ltd
MAHACORP.BO,Maharashtra Corporation Ltd
DOLATALGO.BO,Dolat Algotech Ltd
WESTLIFE.BO,Westlife Foodworld Ltd
ZEEL.BO,Zee Entertainment Enterprises Ltd
SVPGLOB.BO,SVP Global Textiles Ltd
SKYLMILAR.BO,Skyline Millars Ltd
ASIANBRG.BO,Asian Bearing Ltd
BIMETAL.BO,Bimetal Bearings Ltd
TAPARIA.BO,Taparia Tools Ltd
BHARATGEAR.BO,Bharat Gears Ltd
BRADYM.BO,Brady & Morris Engineering Company Ltd
LATIMMETAL.BO,La Tim Metal & Industries Ltd
ELECON.BO,Elecon Engineering Company Ltd
DECANBRG.BO,Deccan Bearings Ltd
GRAUWEIL.BO,Grauer & Weil India Ltd
HIMTEK.BO,Him Teknoforge Ltd
GABRIEL.BO,Gabriel India Ltd
HERCULES.BO,Hercules Hoists Ltd
AQFINTECH.BO,Algoquant Fintech Ltd
IFBIND.BO,IFB Industries Ltd
SINGER.BO,Singer India Ltd
INTLCOMBQ.BO,International Combustion India Ltd
FMGOETZE.BO,Federal-Mogul Goetze (India) Ltd
JOSTS.BO,Josts Engineering Company Ltd
SCHAEFFLER.BO,Schaeffler India Ltd
RANEHOLDIN.BO,Rane Holdings Ltd
ROLCOEN.BO,Rolcon Engineering Company Ltd
SNL.BO,SNL Bearings Ltd
JAIPAN.BO,Jaipan Industries Ltd
MANCREDIT.BO,Mangal Credit and Fincorp Ltd
TRF.BO,TRF Ltd
